SerialNo,PurchaseId,ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted
50,20,01189,250.000,0.000,820.0000,0.00,0.00,0.00,0.00,205000.00,0.00,False
53,20,01201,30.000,0.000,750.0000,0.00,0.00,0.00,0.00,22500.00,0.00,False
59,21,02029,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
58,21,02106,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
56,21,02131,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
54,21,02133,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
55,21,02212,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
57,21,02397,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
60,21,02403,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
61,22,01206,7.000,0.000,5342.8570,0.00,0.00,0.00,0.00,37400.00,0.00,False
63,23,02010,10000.000,0.000,9.0000,0.00,0.00,0.00,0.00,90000.00,0.00,False
62,23,02314,5000.000,0.000,12.5000,0.00,0.00,0.00,0.00,62500.00,0.00,False
65,24,01003,10000.000,0.000,13.0000,0.00,0.00,0.00,0.00,130000.00,0.00,False
66,25,01015,5000.000,0.000,17.0000,0.00,0.00,0.00,0.00,85000.00,0.00,False
68,26,01007,1500.000,0.000,35.0000,0.00,0.00,0.00,0.00,52500.00,0.00,False
67,26,01033,1500.000,0.000,50.0000,0.00,0.00,0.00,0.00,75000.00,0.00,False
69,27,02216,72.000,0.000,40.0000,0.00,0.00,0.00,0.00,2880.00,0.00,False
74,27,02330,140.000,0.000,80.0000,0.00,0.00,0.00,0.00,11200.00,0.00,False
70,27,02332,60.000,0.000,80.0000,0.00,0.00,0.00,0.00,4800.00,0.00,False
71,27,02334,30.000,0.000,80.0000,0.00,0.00,0.00,0.00,2400.00,0.00,False
73,27,02336,50.000,0.000,80.0000,0.00,0.00,0.00,0.00,4000.00,0.00,False
72,27,02337,50.000,0.000,80.0000,0.00,0.00,0.00,0.00,4000.00,0.00,False
75,28,02006,50.000,0.000,203.0000,0.00,0.00,0.00,0.00,10150.00,0.00,False
77,29,01044,50.000,0.000,132.0000,0.00,0.00,0.00,0.00,6600.00,0.00,False
76,29,01047,100.000,0.000,80.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
81,30,01017,10.000,0.000,3400.0000,0.00,0.00,0.00,0.00,34000.00,0.00,False
83,30,01021,30.000,0.000,400.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
84,30,01038,35.000,0.000,650.0000,0.00,0.00,0.00,0.00,22750.00,0.00,False
79,30,01050,25.000,0.000,3100.0000,0.00,0.00,0.00,0.00,77500.00,0.00,False
82,30,01054,1.000,0.000,17500.0000,0.00,0.00,0.00,0.00,17500.00,0.00,False
78,30,01055,25.000,0.000,1550.0000,0.00,0.00,0.00,0.00,38750.00,0.00,False
85,30,01058,25.000,0.000,1450.0000,0.00,0.00,0.00,0.00,36250.00,0.00,False
80,30,01201,30.000,0.000,750.0000,0.00,0.00,0.00,0.00,22500.00,0.00,False
86,31,02004,118.000,0.000,235.0000,0.00,0.00,0.00,0.00,27730.00,0.00,False
87,32,02097,240.000,0.000,185.0000,0.00,0.00,0.00,0.00,44400.00,0.00,False
88,33,01019,5.000,0.000,5000.0000,0.00,0.00,0.00,0.00,25000.00,0.00,False
89,33,01075,5.000,0.000,6200.0000,0.00,0.00,0.00,0.00,31000.00,0.00,False
90,34,02031,40.000,0.000,40.0000,0.00,0.00,0.00,0.00,1600.00,0.00,False
91,34,02293,40.000,0.000,40.0000,0.00,0.00,0.00,0.00,1600.00,0.00,False
92,34,02384,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
93,35,01044,25.000,0.000,128.0000,0.00,0.00,0.00,0.00,3200.00,0.00,False
95,35,01070,1.000,0.000,2270.0000,0.00,0.00,0.00,0.00,2270.00,0.00,False
94,35,01184,90.000,0.000,366.6666,0.00,0.00,0.00,0.00,32999.99,0.00,False
97,36,01011,1.000,0.000,4850.0000,0.00,0.00,0.00,0.00,4850.00,0.00,False
96,36,01028,30.000,0.000,1650.0000,0.00,0.00,0.00,0.00,49500.00,0.00,False
98,36,01055,25.000,0.000,1550.0000,0.00,0.00,0.00,0.00,38750.00,0.00,False
99,37,02014,731.000,0.000,390.0000,0.00,0.00,0.00,0.00,285090.00,0.00,False
100,38,02015,250.000,0.000,350.0000,0.00,0.00,0.00,0.00,87500.00,0.00,False
102,39,02265,32.000,0.000,40.0000,0.00,0.00,0.00,0.00,1280.00,0.00,False
101,39,02346,112.000,0.000,40.0000,0.00,0.00,0.00,0.00,4480.00,0.00,False
103,39,02434,135.000,0.000,40.0000,0.00,0.00,0.00,0.00,5400.00,0.00,False
104,40,01042,50.000,0.000,167.0000,0.00,0.00,0.00,0.00,8350.00,0.00,False
105,41,02004,313.000,0.000,235.0000,0.00,0.00,0.00,0.00,73555.00,0.00,False
106,42,02014,170.000,0.000,390.0000,0.00,0.00,0.00,0.00,66300.00,0.00,False
121,43,00374,20.000,0.000,70.0000,0.00,0.00,0.00,0.00,1400.00,0.00,False
112,43,02132,400.000,0.000,20.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
114,43,02141,400.000,0.000,20.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
109,43,02142,110.000,0.000,40.0000,0.00,0.00,0.00,0.00,4400.00,0.00,False
108,43,02145,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
119,43,02147,110.000,0.000,40.0000,0.00,0.00,0.00,0.00,4400.00,0.00,False
115,43,02211,80.000,0.000,40.0000,0.00,0.00,0.00,0.00,3200.00,0.00,False
110,43,02293,110.000,0.000,40.0000,0.00,0.00,0.00,0.00,4400.00,0.00,False
122,43,02329,25.000,0.000,120.0000,0.00,0.00,0.00,0.00,3000.00,0.00,False
113,43,02363,400.000,0.000,20.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
111,43,02365,110.000,0.000,40.0000,0.00,0.00,0.00,0.00,4400.00,0.00,False
123,43,02372,200.000,0.000,40.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
107,43,02404,110.000,0.000,40.0000,0.00,0.00,0.00,0.00,4400.00,0.00,False
120,43,02420,10.000,0.000,140.0000,0.00,0.00,0.00,0.00,1400.00,0.00,False
117,43,02435,52.000,0.000,40.0000,0.00,0.00,0.00,0.00,2080.00,0.00,False
118,43,02436,52.000,0.000,40.0000,0.00,0.00,0.00,0.00,2080.00,0.00,False
116,43,02437,6.000,0.000,90.0000,0.00,0.00,0.00,0.00,540.00,0.00,False
124,43,02438,10.000,0.000,140.0000,0.00,0.00,0.00,0.00,1400.00,0.00,False
125,44,02145,400.000,0.000,20.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
126,45,02014,544.000,0.000,390.0000,0.00,0.00,0.00,0.00,212160.00,0.00,False
127,46,02014,60.000,0.000,450.0000,0.00,0.00,0.00,0.00,27000.00,0.00,False
130,46,02054,20.000,0.000,185.0000,0.00,0.00,0.00,0.00,3700.00,0.00,False
131,46,02140,50.000,0.000,1100.0000,0.00,0.00,0.00,0.00,55000.00,0.00,False
129,47,01044,100.000,0.000,128.0000,0.00,0.00,0.00,0.00,12800.00,0.00,False
128,47,01047,500.000,0.000,68.0000,0.00,0.00,0.00,0.00,34000.00,0.00,False
140,47,01059,30.000,0.000,80.0000,0.00,0.00,0.00,0.00,2400.00,0.00,False
141,48,01002,25.000,0.000,280.0000,0.00,0.00,0.00,0.00,7000.00,0.00,False
134,48,01004,25.000,0.000,400.0000,0.00,0.00,0.00,0.00,10000.00,0.00,False
137,48,01009,100.000,0.000,2200.0000,0.00,0.00,0.00,0.00,220000.00,0.00,False
138,48,01021,30.000,0.000,400.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
136,48,01034,25.000,0.000,560.0000,0.00,0.00,0.00,0.00,14000.00,0.00,False
132,48,01041,25.000,0.000,650.0000,0.00,0.00,0.00,0.00,16250.00,0.00,False
139,48,01055,25.000,0.000,1550.0000,0.00,0.00,0.00,0.00,38750.00,0.00,False
133,48,01058,25.000,0.000,1450.0000,0.00,0.00,0.00,0.00,36250.00,0.00,False
135,48,01105,25.000,0.000,420.0000,0.00,0.00,0.00,0.00,10500.00,0.00,False
142,49,02004,20.000,0.000,210.0000,0.00,0.00,0.00,0.00,4200.00,0.00,False
143,50,01184,120.000,0.000,366.6666,0.00,0.00,0.00,0.00,43999.99,0.00,False
144,50,01186,60.000,0.000,36.6666,0.00,0.00,0.00,0.00,2200.00,0.00,False
185,51,01002,25.000,0.000,280.0000,0.00,0.00,0.00,0.00,7000.00,0.00,False
153,51,01011,25.000,0.000,4850.0000,0.00,0.00,0.00,0.00,121250.00,0.00,False
154,51,01013,25.000,0.000,210.0000,0.00,0.00,0.00,0.00,5250.00,0.00,False
148,51,01017,25.000,0.000,3400.0000,0.00,0.00,0.00,0.00,85000.00,0.00,False
151,51,01023,25.000,0.000,7200.0000,0.00,0.00,0.00,0.00,180000.00,0.00,False
150,51,01025,25.000,0.000,7200.0000,0.00,0.00,0.00,0.00,180000.00,0.00,False
149,51,01028,30.000,0.000,1650.0000,0.00,0.00,0.00,0.00,49500.00,0.00,False
155,51,01038,35.000,0.000,650.0000,0.00,0.00,0.00,0.00,22750.00,0.00,False
152,51,01046,25.000,0.000,10500.0000,0.00,0.00,0.00,0.00,262500.00,0.00,False
145,51,01053,10.000,0.000,17500.0000,0.00,0.00,0.00,0.00,175000.00,0.00,False
146,51,01054,10.000,0.000,17500.0000,0.00,0.00,0.00,0.00,175000.00,0.00,False
147,51,01056,10.000,0.000,19500.0000,0.00,0.00,0.00,0.00,195000.00,0.00,False
158,52,02364,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
157,52,02371,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
156,52,02410,110.000,0.000,80.0000,0.00,0.00,0.00,0.00,8800.00,0.00,False
163,53,02026,144.000,0.000,60.0000,0.00,0.00,0.00,0.00,8640.00,0.00,False
164,53,02148,12.000,0.000,140.0000,0.00,0.00,0.00,0.00,1680.00,0.00,False
159,53,02267,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
165,53,02268,26.000,0.000,90.0000,0.00,0.00,0.00,0.00,2340.00,0.00,False
160,53,02271,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
161,53,02272,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
162,53,02350,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
166,53,02351,12.000,0.000,140.0000,0.00,0.00,0.00,0.00,1680.00,0.00,False
167,54,01020,700.000,0.000,350.0000,0.00,0.00,0.00,0.00,245000.00,0.00,False
168,55,02004,313.000,0.000,235.0000,0.00,0.00,0.00,0.00,73555.00,0.00,False
169,56,02004,31.000,0.000,227.0000,0.00,0.00,0.00,0.00,7037.00,0.00,False
170,57,02014,255.000,0.000,390.0000,0.00,0.00,0.00,0.00,99450.00,0.00,False
171,58,01072,10.000,0.000,9500.0000,0.00,0.00,0.00,0.00,95000.00,0.00,False
172,59,02014,340.000,0.000,390.0000,0.00,0.00,0.00,0.00,132600.00,0.00,False
174,60,01015,2500.000,0.000,17.0000,0.00,0.00,0.00,0.00,42500.00,0.00,False
173,60,01190,18400.000,0.000,11.5000,0.00,0.00,0.00,0.00,211600.00,0.00,False
175,61,02128,150.000,0.000,1066.0000,0.00,0.00,0.00,0.00,159900.00,0.00,False
176,62,02160,130.000,0.000,90.0000,0.00,0.00,0.00,0.00,11700.00,0.00,False
177,63,02128,224.000,0.000,1066.0000,0.00,0.00,0.00,0.00,238784.00,0.00,False
181,64,00374,20.000,0.000,75.0000,0.00,0.00,0.00,0.00,1500.00,0.00,False
178,64,02332,80.000,0.000,80.0000,0.00,0.00,0.00,0.00,6400.00,0.00,False
180,64,02337,80.000,0.000,80.0000,0.00,0.00,0.00,0.00,6400.00,0.00,False
179,64,02342,80.000,0.000,80.0000,0.00,0.00,0.00,0.00,6400.00,0.00,False
182,65,02097,180.000,0.000,230.0000,0.00,0.00,0.00,0.00,41400.00,0.00,False
184,66,01002,25.000,0.000,200.0000,0.00,0.00,0.00,0.00,5000.00,0.00,False
183,66,01047,150.000,0.000,80.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
187,67,01003,10000.000,0.000,13.0000,0.00,0.00,0.00,0.00,130000.00,0.00,False
188,68,01033,2096.000,0.000,50.0000,0.00,0.00,0.00,0.00,104800.00,0.00,False
189,68,01059,990.000,0.000,72.3333,0.00,0.00,0.00,0.00,71609.97,0.00,False
190,69,01190,18400.000,0.000,11.5000,0.00,0.00,0.00,0.00,211600.00,0.00,False
191,70,01015,1600.000,0.000,17.0000,0.00,0.00,0.00,0.00,27200.00,0.00,False
193,71,01007,1500.000,0.000,35.0000,0.00,0.00,0.00,0.00,52500.00,0.00,False
192,71,01059,990.000,0.000,72.3333,0.00,0.00,0.00,0.00,71609.97,0.00,False
201,72,02031,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
198,72,02220,40.000,0.000,40.0000,0.00,0.00,0.00,0.00,1600.00,0.00,False
203,72,02237,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
196,72,02268,22.000,0.000,90.0000,0.00,0.00,0.00,0.00,1980.00,0.00,False
202,72,02271,32.000,0.000,40.0000,0.00,0.00,0.00,0.00,1280.00,0.00,False
197,72,02348,40.000,0.000,40.0000,0.00,0.00,0.00,0.00,1600.00,0.00,False
194,72,02351,30.000,0.000,140.0000,0.00,0.00,0.00,0.00,4200.00,0.00,False
199,72,02394,80.000,0.000,40.0000,0.00,0.00,0.00,0.00,3200.00,0.00,False
200,72,02395,80.000,0.000,40.0000,0.00,0.00,0.00,0.00,3200.00,0.00,False
195,72,02439,32.000,0.000,40.0000,0.00,0.00,0.00,0.00,1280.00,0.00,False
204,73,02014,340.000,0.000,440.0000,0.00,0.00,0.00,0.00,149600.00,0.00,False
205,73,02097,600.000,0.000,230.0000,0.00,0.00,0.00,0.00,138000.00,0.00,False
206,74,02174,508.000,0.000,100.0000,0.00,0.00,0.00,0.00,50800.00,0.00,False
207,75,01015,10000.000,0.000,17.0000,0.00,0.00,0.00,0.00,170000.00,0.00,False
208,76,01043,1600.000,0.000,13.7500,0.00,0.00,0.00,0.00,22000.00,0.00,False
209,76,01044,200.000,0.000,128.0000,0.00,0.00,0.00,0.00,25600.00,0.00,False
210,77,02258,300.000,0.000,40.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
211,78,01207,1.000,0.000,9500.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
221,79,00374,15.000,0.000,75.0000,0.00,0.00,0.00,0.00,1125.00,0.00,False
222,79,02026,160.000,0.000,50.0000,0.00,0.00,0.00,0.00,8000.00,0.00,False
220,79,02271,32.000,0.000,40.0000,0.00,0.00,0.00,0.00,1280.00,0.00,False
212,79,02330,70.000,0.000,80.0000,0.00,0.00,0.00,0.00,5600.00,0.00,False
215,79,02334,30.000,0.000,80.0000,0.00,0.00,0.00,0.00,2400.00,0.00,False
213,79,02336,70.000,0.000,80.0000,0.00,0.00,0.00,0.00,5600.00,0.00,False
214,79,02337,60.000,0.000,80.0000,0.00,0.00,0.00,0.00,4800.00,0.00,False
218,79,02345,12.000,0.000,90.0000,0.00,0.00,0.00,0.00,1080.00,0.00,False
223,79,02420,500.000,0.000,40.0000,0.00,0.00,0.00,0.00,20000.00,0.00,False
216,79,02435,30.000,0.000,80.0000,0.00,0.00,0.00,0.00,2400.00,0.00,False
217,79,02436,32.000,0.000,80.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
219,79,02437,20.000,0.000,90.0000,0.00,0.00,0.00,0.00,1800.00,0.00,False
224,80,02004,100.000,0.000,235.0000,0.00,0.00,0.00,0.00,23500.00,0.00,False
225,81,02004,34.000,0.000,227.0000,0.00,0.00,0.00,0.00,7718.00,0.00,False
226,82,01185,30.000,0.000,283.3333,0.00,0.00,0.00,0.00,8500.00,0.00,False
227,83,02140,50.000,0.000,1100.0000,0.00,0.00,0.00,0.00,55000.00,0.00,False
236,84,01002,25.000,0.000,280.0000,0.00,0.00,0.00,0.00,7000.00,0.00,False
231,84,01004,25.000,0.000,400.0000,0.00,0.00,0.00,0.00,10000.00,0.00,False
235,84,01009,25.000,0.000,2200.0000,0.00,0.00,0.00,0.00,55000.00,0.00,False
238,84,01010,25.000,0.000,2800.0000,0.00,0.00,0.00,0.00,70000.00,0.00,False
234,84,01011,25.000,0.000,4850.0000,0.00,0.00,0.00,0.00,121250.00,0.00,False
240,84,01028,5.000,0.000,1650.0000,0.00,0.00,0.00,0.00,8250.00,0.00,False
230,84,01034,25.000,0.000,560.0000,0.00,0.00,0.00,0.00,14000.00,0.00,False
228,84,01041,25.000,0.000,650.0000,0.00,0.00,0.00,0.00,16250.00,0.00,False
229,84,01058,25.000,0.000,1450.0000,0.00,0.00,0.00,0.00,36250.00,0.00,False
237,84,01105,25.000,0.000,425.0000,0.00,0.00,0.00,0.00,10625.00,0.00,False
232,84,01176,1.000,0.000,9500.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
233,84,01187,25.000,0.000,400.0000,0.00,0.00,0.00,0.00,10000.00,0.00,False
239,84,01201,50.000,0.000,750.0000,0.00,0.00,0.00,0.00,37500.00,0.00,False
241,85,01019,3.000,0.000,5000.0000,0.00,0.00,0.00,0.00,15000.00,0.00,False
243,85,01047,200.000,0.000,68.0000,0.00,0.00,0.00,0.00,13600.00,0.00,False
242,85,01075,3.000,0.000,4500.0000,0.00,0.00,0.00,0.00,13500.00,0.00,False
245,86,02027,70.000,0.000,40.0000,0.00,0.00,0.00,0.00,2800.00,0.00,False
244,86,02291,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
246,87,02014,425.000,0.000,440.0000,0.00,0.00,0.00,0.00,187000.00,0.00,False
247,88,01035,2.000,0.000,1350.0000,0.00,0.00,0.00,0.00,2700.00,0.00,False
248,88,01055,10.000,0.000,1550.0000,0.00,0.00,0.00,0.00,15500.00,0.00,False
249,89,01184,30.000,0.000,366.6666,0.00,0.00,0.00,0.00,11000.00,0.00,False
250,90,02047,32.000,0.000,40.0000,0.00,0.00,0.00,0.00,1280.00,0.00,False
254,90,02093,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
253,90,02164,72.000,0.000,40.0000,0.00,0.00,0.00,0.00,2880.00,0.00,False
252,90,02165,72.000,0.000,40.0000,0.00,0.00,0.00,0.00,2880.00,0.00,False
255,90,02209,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
251,90,02298,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
256,91,02014,425.000,0.000,440.0000,0.00,0.00,0.00,0.00,187000.00,0.00,False
260,92,01008,380.000,0.000,22.5000,0.00,0.00,0.00,0.00,8550.00,0.00,False
259,92,01042,200.000,0.000,170.0000,0.00,0.00,0.00,0.00,34000.00,0.00,False
258,92,01047,150.000,0.000,68.0000,0.00,0.00,0.00,0.00,10200.00,0.00,False
257,92,01182,190.000,0.000,466.8422,0.00,0.00,0.00,0.00,88700.02,0.00,False
261,93,01002,25.000,0.000,280.0000,0.00,0.00,0.00,0.00,7000.00,0.00,False
262,94,02076,80.000,0.000,28.7500,0.00,0.00,0.00,0.00,2300.00,0.00,False
263,95,02006,52.000,0.000,217.0000,0.00,0.00,0.00,0.00,11284.00,0.00,False
264,96,02094,100.000,0.000,40.0000,0.00,0.00,0.00,0.00,4000.00,0.00,False
266,97,01019,3.000,0.000,5000.0000,0.00,0.00,0.00,0.00,15000.00,0.00,False
267,97,01042,50.000,0.000,164.0000,0.00,0.00,0.00,0.00,8200.00,0.00,False
265,97,01075,3.000,0.000,4500.0000,0.00,0.00,0.00,0.00,13500.00,0.00,False
268,98,01184,30.000,0.000,366.6666,0.00,0.00,0.00,0.00,11000.00,0.00,False
269,99,02097,720.000,0.000,185.0000,0.00,0.00,0.00,0.00,133200.00,0.00,False
278,100,01013,25.000,0.000,210.0000,0.00,0.00,0.00,0.00,5250.00,0.00,False
273,100,01031,15.000,0.000,6500.0000,0.00,0.00,0.00,0.00,97500.00,0.00,False
270,100,01038,70.000,0.000,650.0000,0.00,0.00,0.00,0.00,45500.00,0.00,False
271,100,01041,25.000,0.000,650.0000,0.00,0.00,0.00,0.00,16250.00,0.00,False
279,100,01050,5.000,0.000,3100.0000,0.00,0.00,0.00,0.00,15500.00,0.00,False
274,100,01055,6.000,0.000,1550.0000,0.00,0.00,0.00,0.00,9300.00,0.00,False
272,100,01058,15.000,0.000,1450.0000,0.00,0.00,0.00,0.00,21750.00,0.00,False
277,100,01080,1.000,0.000,6200.0000,0.00,0.00,0.00,0.00,6200.00,0.00,False
276,100,01082,5.000,0.000,7200.0000,0.00,0.00,0.00,0.00,36000.00,0.00,False
275,100,01201,20.000,0.000,750.0000,0.00,0.00,0.00,0.00,15000.00,0.00,False
280,101,02004,196.000,0.000,235.0000,0.00,0.00,0.00,0.00,46060.00,0.00,False
281,102,02128,126.000,0.000,1065.0000,0.00,0.00,0.00,0.00,134190.00,0.00,False
286,103,02028,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
282,103,02031,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
290,103,02060,4.000,0.000,140.0000,0.00,0.00,0.00,0.00,560.00,0.00,False
288,103,02220,144.000,0.000,40.0000,0.00,0.00,0.00,0.00,5760.00,0.00,False
289,103,02234,6.000,0.000,140.0000,0.00,0.00,0.00,0.00,840.00,0.00,False
287,103,02267,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
284,103,02272,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
285,103,02289,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
283,103,02357,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
291,103,02420,10.000,0.000,140.0000,0.00,0.00,0.00,0.00,1400.00,0.00,False
292,104,01043,800.000,0.000,13.7500,0.00,0.00,0.00,0.00,11000.00,0.00,False
293,105,02027,100.000,0.000,40.0000,0.00,0.00,0.00,0.00,4000.00,0.00,False
294,105,02440,45.000,0.000,140.0000,0.00,0.00,0.00,0.00,6300.00,0.00,False
