SerialNo,SaleId,ProductId,IsSaleOnTp,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,Description
165,77,00231,True,100.000000000,0,1000.0000,0.00,0.00,0.00,0.00,100000.00,0.00,False,
166,78,00220,True,150.000000000,0,1200.0000,0.00,0.00,0.00,0.00,180000.00,0.00,False,
167,79,00363,True,5.000000000,0,16000.0000,0.00,0.00,0.00,0.00,80000.00,0.00,False,
169,80,00274,True,52.000000000,0,5000.0000,0.00,0.00,0.00,0.00,260000.00,0.00,False,
172,80,00278,True,20.000000000,0,10000.0000,0.00,0.00,0.00,0.00,200000.00,0.00,False,
170,80,00280,True,48.000000000,0,2500.0000,0.00,0.00,0.00,0.00,120000.00,0.00,False,
171,80,00281,True,44.000000000,0,4200.0000,0.00,0.00,0.00,0.00,184800.00,0.00,False,
168,80,00285,True,225.000000000,0,900.0000,0.00,0.00,0.00,0.00,202500.00,0.00,False,
173,80,00289,True,10.000000000,0,6000.0000,0.00,0.00,0.00,0.00,60000.00,0.00,False,
174,80,00373,True,10.000000000,0,15000.0000,0.00,0.00,0.00,0.00,150000.00,0.00,False,
175,81,00352,True,20.000000000,0,55000.0000,0.00,0.00,0.00,0.00,1100000.00,0.00,False,
176,82,00016,True,34.000000000,0,2904.0000,0.00,0.00,0.00,0.00,98736.00,0.00,False,
178,82,00040,True,10.000000000,0,13200.0000,0.00,0.00,0.00,0.00,132000.00,0.00,False,
177,82,00125,True,19.000000000,0,6600.0000,0.00,0.00,0.00,0.00,125400.00,0.00,False,
179,82,00231,True,100.000000000,0,1320.0000,0.00,0.00,0.00,0.00,132000.00,0.00,False,
180,83,00231,True,15.000000000,0,1320.0000,0.00,0.00,0.00,0.00,19800.00,0.00,False,
182,84,00124,True,16.000000000,0,6000.0000,0.00,0.00,0.00,0.00,96000.00,0.00,False,
181,84,00135,True,20.000000000,0,1800.0000,0.00,0.00,0.00,0.00,36000.00,0.00,False,
183,85,00051,True,40.000000000,0,4800.0000,0.00,0.00,0.00,0.00,192000.00,0.00,False,
184,85,00211,True,40.000000000,0,2175.0000,0.00,0.00,0.00,0.00,87000.00,0.00,False,
