ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,UserNo
01048,16.000000000,0.000000000,1500.000000,0.00,0.00,0.00,0.00,24000.000000,0.00,False,
01050,15.000000000,0.000000000,2900.000000,0.00,0.00,0.00,0.00,43500.000000,0.00,False,
01052,8.000000000,0.000000000,14500.000000,0.00,0.00,0.00,0.00,116000.000000,0.00,False,
01053,0.600000000,0.000000000,15500.000000,0.00,0.00,0.00,0.00,9300.000000,0.00,False,
01054,1.000000000,0.000000000,16000.000000,0.00,0.00,0.00,0.00,16000.000000,0.00,False,
01055,3.000000000,0.000000000,1300.000000,0.00,0.00,0.00,0.00,3900.000000,0.00,False,
01056,6.000000000,0.000000000,16500.000000,0.00,0.00,0.00,0.00,99000.000000,0.00,False,
01057,5.200000000,0.000000000,14000.000000,0.00,0.00,0.00,0.00,72800.000000,0.00,False,
01058,23.000000000,0.000000000,1600.000000,0.00,0.00,0.00,0.00,36800.000000,0.00,False,
01060,25.000000000,0.000000000,950.000000,0.00,0.00,0.00,0.00,23750.000000,0.00,False,
01072,5.000000000,0.000000000,9500.000000,0.00,0.00,0.00,0.00,47500.000000,0.00,False,
01075,1.000000000,0.000000000,5000.000000,0.00,0.00,0.00,0.00,5000.000000,0.00,False,
01080,2.000000000,0.000000000,4500.000000,0.00,0.00,0.00,0.00,9000.000000,0.00,False,
01104,15.000000000,0.000000000,1100.000000,0.00,0.00,0.00,0.00,16500.000000,0.00,False,
01105,9.000000000,0.000000000,290.000000,0.00,0.00,0.00,0.00,2610.000000,0.00,False,
01115,19.000000000,0.000000000,1200.000000,0.00,0.00,0.00,0.00,22800.000000,0.00,False,
01117,2.000000000,0.000000000,420.000000,0.00,0.00,0.00,0.00,840.000000,0.00,False,
01133,25.000000000,0.000000000,1300.000000,0.00,0.00,0.00,0.00,32500.000000,0.00,False,
01143,60.000000000,0.000000000,3200.000000,0.00,0.00,0.00,0.00,192000.000000,0.00,False,
01175,35.000000000,0.000000000,320.000000,0.00,0.00,0.00,0.00,11200.000000,0.00,False,
