SerialNo,AccountNo,VoucherNo,VoucherDate,Narration,Debit
68,52054,8,05/08/2026 00:00:00,,12000.00
69,52005,8,05/08/2026 00:00:00,Labour Director Imran A Inspection,50000.00
70,52015,9,05/09/2026 00:00:00,Ali Salary + Toba Salary,165000.00
71,64002,9,05/09/2026 00:00:00,House Use ,800000.00
72,64002,9,05/09/2026 00:00:00,Amir Wedding Salami,10000.00
73,64002,9,05/09/2026 00:00:00,Asif Paint + Bajrii,13000.00
74,52002,10,05/10/2026 00:00:00,,100000.00
75,52055,10,05/10/2026 00:00:00,Petrol,5000.00
76,52001,10,05/10/2026 00:00:00,,35000.00
77,548,3,05/03/2026 00:00:00,Dr.Khalid,100000.00
78,548,3,05/03/2026 00:00:00,Habib Rent Rohri,75000.00
79,610018,3,05/03/2026 00:00:00,Na.Bicarbonate,3300.00
80,64002,3,05/03/2026 00:00:00,House tile,105000.00
81,52055,3,05/03/2026 00:00:00,Petrol,12000.00
82,547,3,05/03/2026 00:00:00,Shoper,2700.00
83,610019,3,05/03/2026 00:00:00,Bottle Liter ,1860.00
84,64002,11,05/11/2026 00:00:00,House Cement,142100.00
85,620041,11,05/11/2026 00:00:00,Sarfraz Salary,105000.00
86,64002,11,05/11/2026 00:00:00,House Use ,21000.00
87,64002,11,05/11/2026 00:00:00,House Mistruy Shebaz,20000.00
88,610022,11,05/11/2026 00:00:00,Sajid Calcium,168969.00
89,610018,11,05/11/2026 00:00:00,CSL + Molasses,127630.00
90,548,12,05/12/2026 00:00:00,Ammar+Abdullah+Haroon+Zain+Ateeq+Azhar+Harus+Saiym+,579855.00
91,620041,12,05/12/2026 00:00:00,Exp Kazim,71870.00
92,64002,12,05/12/2026 00:00:00,House Light,33000.00
93,610016,12,05/12/2026 00:00:00,Hasnaat Bento,130000.00
94,52005,12,05/12/2026 00:00:00,,325000.00
95,52062,12,05/12/2026 00:00:00,Bento Rent,16500.00
96,610019,12,05/12/2026 00:00:00,Hamid Bottle ,87500.00
97,54001,12,05/12/2026 00:00:00,,1000000.00
98,610018,12,05/12/2026 00:00:00,Na.Sulphate+Na Bicarbonate,14600.00
99,547,12,05/12/2026 00:00:00,Shopper+Tie+Petrol,19900.00
100,64002,13,05/13/2026 00:00:00,House Use ,10000.00
101,52005,13,05/13/2026 00:00:00,Kashif Drap Tour,10000.00
102,64002,13,05/13/2026 00:00:00,House Cement ,64500.00
103,610018,13,05/13/2026 00:00:00,Pepper Mint Oil+Eucluptus Oil ,56000.00
104,610019,13,05/13/2026 00:00:00,Bottle Ayyoub,44400.00
105,64002,14,05/14/2026 00:00:00,House Paint Asif,30000.00
106,64002,14,05/14/2026 00:00:00,House Mistry Shebaz,50000.00
107,64002,14,05/14/2026 00:00:00,House Cement ,56500.00
108,64002,14,05/14/2026 00:00:00,House Stone ,200000.00
109,64002,14,05/14/2026 00:00:00,Zulfiqar Lohaar,23000.00
110,610018,14,05/14/2026 00:00:00,Anise Oil+Na.Bicarbonate,5470.00
111,547,14,05/14/2026 00:00:00,Jaali Machin+Pipe House +Petrol,3530.00
112,64002,15,05/15/2026 00:00:00,House Nasir Saintry,15000.00
113,52054,15,05/15/2026 00:00:00,,25000.00
114,610021,15,05/15/2026 00:00:00,,240000.00
115,52023,16,05/16/2026 00:00:00,Nasir Factory Rait<Bajree,500000.00
116,52023,16,05/16/2026 00:00:00,Factory Steel From Ethaad Steel Mill,1877680.00
117,610005,16,05/16/2026 00:00:00,,200000.00
118,610018,16,05/16/2026 00:00:00,Starch,8350.00
119,547,16,05/16/2026 00:00:00,Bottle Seal+Petrol+Nasir T Elbow,3650.00
120,610022,17,05/17/2026 00:00:00,Khalid,400000.00
121,610004,18,05/18/2026 00:00:00,,250000.00
122,64002,18,05/18/2026 00:00:00,House College Fee,257500.00
123,64002,18,05/18/2026 00:00:00,House Mistry Shebaz,31000.00
124,64002,18,05/18/2026 00:00:00,House Paint Asif,25000.00
125,610004,18,05/18/2026 00:00:00,,100000.00
126,52055,18,05/18/2026 00:00:00,Petrol,5000.00
127,52055,19,05/19/2026 00:00:00,Petrol,2000.00
128,610018,19,05/19/2026 00:00:00,Na.Sulfate+Na Bicarbonate,46800.00
129,610019,19,05/19/2026 00:00:00,Ayyoub Can 5 Lit,27000.00
130,610019,19,05/19/2026 00:00:00,Bag White ,3700.00
131,547,19,05/19/2026 00:00:00,Kimchi Ext+Shopper+Cent,44290.00
132,64002,19,05/19/2026 00:00:00,House Use UBL Transfer,25000.00
133,64002,19,05/19/2026 00:00:00,House Cement,30900.00
134,64002,20,05/20/2026 00:00:00,House Use,111000.00
135,52055,20,05/20/2026 00:00:00,Petrol,28000.00
136,610018,20,05/20/2026 00:00:00,Shokat UAF,254300.00
137,544,21,05/22/2026 00:00:00,Paid To Wamiqa,50000.00
138,64002,21,05/22/2026 00:00:00,House Shebaz Mistry,50000.00
139,64002,21,05/22/2026 00:00:00,House Use ,10000.00
140,52001,21,05/22/2026 00:00:00,,18900.00
141,64002,21,05/22/2026 00:00:00,House Saintry,35000.00
